timediff,colony,f1,tp,fp,fn,tn,num_cells1,num_cells2,precision,recall
5,240102_30C_fig_SW182_01,0.9926916883438622,4007,59,0,157455,4066,4125,0.985489424495819,1.0
5,240102_30C_fig_SX387_01,0.9917823746103712,1750,29,0,50076,1779,1809,0.983698707138842,1.0
5,240102_30C_fig_SX387_03,0.991644385026738,2967,48,2,101032,3015,3061,0.9840796019900497,0.9993263725159987
5,240102_30C_fig_SX387_05,0.9919828968466061,928,15,0,9593,944,959,0.9840933191940615,1.0
10,240102_30C_fig_SW182_01,0.9850291804110631,3882,118,0,155234,4000,4118,0.9705,1.0
10,240102_30C_fig_SX387_01,0.9801169590643275,1676,63,5,49218,1739,1799,0.9637722829212191,0.9970255800118977
10,240102_30C_fig_SX387_03,0.982341848105606,2865,97,6,99577,2962,3053,0.9672518568534774,0.9979101358411703
10,240102_30C_fig_SX387_05,0.9835345773874863,896,30,0,9444,927,957,0.9676025917926566,1.0
15,240102_30C_fig_SW182_01,0.9769860876348979,3757,177,0,152981,3934,4111,0.9550076258261312,1.0
15,240102_30C_fig_SX387_01,0.9640591966173362,1596,103,16,48331,1699,1789,0.9393761035903473,0.9900744416873449
15,240102_30C_fig_SX387_03,0.9732770745428974,2768,143,9,98194,2911,3045,0.9508759876331158,0.9967590925459129
15,240102_30C_fig_SX387_05,0.9746192893401016,864,45,0,9291,910,955,0.9504950495049505,1.0
20,240102_30C_fig_SW182_01,0.9685333333333334,3632,236,0,150708,3868,4104,0.9389865563598759,1.0
20,240102_30C_fig_SX387_01,0.9487820112429731,1519,140,24,47419,1659,1779,0.9156118143459916,0.9844458846403111
20,240102_30C_fig_SX387_03,0.963016417102652,2669,191,14,96778,2860,3037,0.9332167832167833,0.9947819604919865
20,240102_30C_fig_SX387_05,0.965836711059641,834,59,0,9151,894,953,0.9339305711086227,1.0
